Campus,Faculty Code,International/Domestic,Measure Names,Program,Program Type,Session Year,Student Level,Measure Values
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Media Studies,Baccalaureate Degree,2015,Undergraduate,60
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2006,Undergraduate,251
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2007,Undergraduate,247
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2008,Undergraduate,244
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2009,Undergraduate,258
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2010,Undergraduate,252
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2011,Undergraduate,268
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2012,Undergraduate,243
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2013,Undergraduate,251
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2014,Undergraduate,230
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2015,Undergraduate,243
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2006,Undergraduate,87
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2007,Undergraduate,71
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2008,Undergraduate,74
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2009,Undergraduate,70
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2010,Undergraduate,70
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2011,Undergraduate,71
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2012,Undergraduate,77
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2013,Undergraduate,100
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2014,Undergraduate,118
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2015,Undergraduate,116
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2006,Undergraduate,"1,271"
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2007,Undergraduate,"1,422"
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2008,Undergraduate,"1,500"
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2009,Undergraduate,"1,601"
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2010,Undergraduate,"1,617"
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2011,Undergraduate,"1,795"
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2012,Undergraduate,"1,979"
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2013,Undergraduate,"2,186"
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2014,Undergraduate,"2,426"
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2015,Undergraduate,"2,843"
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2006,Undergraduate,16
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2007,Undergraduate,20
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2008,Undergraduate,30
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2009,Undergraduate,22
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2010,Undergraduate,34
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2011,Undergraduate,37
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2012,Undergraduate,39
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2013,Undergraduate,36
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2014,Undergraduate,37
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2015,Undergraduate,47
Vancouver,ARTS,International,Headcount at November 1,Bachelor of International Economics,Baccalaureate Degree,2015,Undergraduate,125
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Intl Economics,Baccalaureate Degree,2013,Undergraduate,41
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Intl Economics,Baccalaureate Degree,2014,Undergraduate,79
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Media Studies,Baccalaureate Degree,2015,Undergraduate,25
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2006,Undergraduate,8
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2007,Undergraduate,11
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2008,Undergraduate,19
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2009,Undergraduate,17
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2010,Undergraduate,17
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2011,Undergraduate,14
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2012,Undergraduate,16
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2013,Undergraduate,19
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2014,Undergraduate,19
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Music,Baccalaureate Degree,2015,Undergraduate,22
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2013,Undergraduate,1
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2014,Undergraduate,2
Vancouver,ARTS,International,Headcount at November 1,Bachelor of Social Work,Baccalaureate Degree,2015,Undergraduate,1
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Bus in Real Estate,Baccalaureate Degree,2006,Undergraduate,4
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Bus in Real Estate,Baccalaureate Degree,2007,Undergraduate,11
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Bus in Real Estate,Baccalaureate Degree,2008,Undergraduate,12
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Bus in Real Estate,Baccalaureate Degree,2009,Undergraduate,13
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Bus in Real Estate,Baccalaureate Degree,2010,Undergraduate,12
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Bus in Real Estate,Baccalaureate Degree,2011,Undergraduate,16
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Bus in Real Estate,Baccalaureate Degree,2012,Undergraduate,13
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Bus in Real Estate,Baccalaureate Degree,2013,Undergraduate,15
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Bus in Real Estate,Baccalaureate Degree,2014,Undergraduate,13
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Business in Real Estate,Baccalaureate Degree,2015,Undergraduate,9
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2006,Undergraduate,"1,877"
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2007,Undergraduate,"1,945"
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2008,Undergraduate,"2,084"
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2009,Undergraduate,"2,171"
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2010,Undergraduate,"2,230"
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2011,Undergraduate,"2,246"
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2012,Undergraduate,"2,312"
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2013,Undergraduate,"2,329"
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2014,Undergraduate,"2,362"
Vancouver,COMM,Domestic,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2015,Undergraduate,"2,345"
Vancouver,COMM,International,Headcount at November 1,Bachelor of Bus in Real Estate,Baccalaureate Degree,2014,Undergraduate,1
Vancouver,COMM,International,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2006,Undergraduate,388
Vancouver,COMM,International,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2007,Undergraduate,395
Vancouver,COMM,International,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2008,Undergraduate,450
Vancouver,COMM,International,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2009,Undergraduate,541
Vancouver,COMM,International,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2010,Undergraduate,604
Vancouver,COMM,International,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2011,Undergraduate,682
Vancouver,COMM,International,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2012,Undergraduate,844
Vancouver,COMM,International,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2013,Undergraduate,"1,015"
Vancouver,COMM,International,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2014,Undergraduate,"1,210"
Vancouver,COMM,International,Headcount at November 1,Bachelor of Commerce,Baccalaureate Degree,2015,Undergraduate,"1,346"
Vancouver,DENT,Domestic,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2006,Undergraduate,123
Vancouver,DENT,Domestic,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2007,Undergraduate,157
Vancouver,DENT,Domestic,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2008,Undergraduate,198
Vancouver,DENT,Domestic,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2009,Undergraduate,258
Vancouver,DENT,Domestic,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2010,Undergraduate,265
Vancouver,DENT,Domestic,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2011,Undergraduate,252
Vancouver,DENT,Domestic,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2012,Undergraduate,216
Vancouver,DENT,Domestic,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2013,Undergraduate,193
Vancouver,DENT,Domestic,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2014,Undergraduate,165
Vancouver,DENT,Domestic,Headcount at November 1,Bachelor of Dental Science (Dental Hygiene),Baccalaureate Degree,2015,Undergraduate,152
Vancouver,DENT,Domestic,Headcount at November 1,Bachelor of Dental Sciences (Dental Hygiene),Baccalaureate Degree,2015,Undergraduate,
Vancouver,DENT,International,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2006,Undergraduate,2
Vancouver,DENT,International,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2007,Undergraduate,2
Vancouver,DENT,International,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2008,Undergraduate,3
Vancouver,DENT,International,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2009,Undergraduate,3
Vancouver,DENT,International,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2010,Undergraduate,3
Vancouver,DENT,International,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2011,Undergraduate,3
Vancouver,DENT,International,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2012,Undergraduate,4
Vancouver,DENT,International,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2013,Undergraduate,5
Vancouver,DENT,International,Headcount at November 1,B.D.Sc.(Dental Hygiene),Baccalaureate Degree,2014,Undergraduate,6
Vancouver,DENT,International,Headcount at November 1,Bachelor of Dental Science (Dental Hygiene),Baccalaureate Degree,2015,Undergraduate,4
Vancouver,DENT,International,Headcount at November 1,Bachelor of Dental Sciences (Dental Hygiene),Baccalaureate Degree,2015,Undergraduate,
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2006,Undergraduate,841
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2007,Undergraduate,850
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2008,Undergraduate,790
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2009,Undergraduate,801
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2010,Undergraduate,825
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2011,Undergraduate,835
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2012,Undergraduate,81
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2013,Undergraduate,24
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2014,Undergraduate,8
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2015,Undergraduate,3
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Kinesiology,Baccalaureate Degree,2011,Undergraduate,35
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Kinesiology,Baccalaureate Degree,2012,Undergraduate,873
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Kinesiology,Baccalaureate Degree,2013,Undergraduate,"1,006"
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Kinesiology,Baccalaureate Degree,2014,Undergraduate,"1,080"
Vancouver,EDUC,Domestic,Headcount at November 1,Bachelor of Kinesiology,Baccalaureate Degree,2015,Undergraduate,"1,097"
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2006,Undergraduate,20
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2007,Undergraduate,25
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2008,Undergraduate,34
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2009,Undergraduate,37
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2010,Undergraduate,45
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2011,Undergraduate,53
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2012,Undergraduate,4
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2013,Undergraduate,1
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Human Kinetics,Baccalaureate Degree,2014,Undergraduate,1
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Kinesiology,Baccalaureate Degree,2011,Undergraduate,
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Kinesiology,Baccalaureate Degree,2012,Undergraduate,54
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Kinesiology,Baccalaureate Degree,2013,Undergraduate,63
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Kinesiology,Baccalaureate Degree,2014,Undergraduate,76
Vancouver,EDUC,International,Headcount at November 1,Bachelor of Kinesiology,Baccalaureate Degree,2015,Undergraduate,83
Vancouver,FRST,Domestic,Headcount at November 1,Bach of Sci(Wood Prods Proc),Baccalaureate Degree,2006,Undergraduate,99
Vancouver,FRST,Domestic,Headcount at November 1,Bach of Sci(Wood Prods Proc),Baccalaureate Degree,2007,Undergraduate,99
Vancouver,FRST,Domestic,Headcount at November 1,Bach of Sci(Wood Prods Proc),Baccalaureate Degree,2008,Undergraduate,95
Vancouver,FRST,Domestic,Headcount at November 1,Bach of Sci(Wood Prods Proc),Baccalaureate Degree,2009,Undergraduate,88
Vancouver,FRST,Domestic,Headcount at November 1,Bach of Sci(Wood Prods Proc),Baccalaureate Degree,2010,Undergraduate,76
Vancouver,FRST,Domestic,Headcount at November 1,Bach of Sci(Wood Prods Proc),Baccalaureate Degree,2011,Undergraduate,81
Vancouver,FRST,Domestic,Headcount at November 1,Bach of Sci(Wood Prods Proc),Baccalaureate Degree,2012,Undergraduate,84
